Epoch [1/800], Loss_D: 0.5283, Loss_G: 2.2966, Time: 23.62s
Epoch [2/800], Loss_D: 0.4932, Loss_G: 1.9883, Time: 23.83s
Epoch [3/800], Loss_D: 0.9678, Loss_G: 1.5323, Time: 23.57s
Epoch [4/800], Loss_D: 0.7255, Loss_G: 1.1470, Time: 23.59s
Epoch [5/800], Loss_D: 0.8487, Loss_G: 1.4821, Time: 23.75s
Epoch [6/800], Loss_D: 0.8147, Loss_G: 1.3007, Time: 23.60s
Epoch [7/800], Loss_D: 1.0636, Loss_G: 0.7405, Time: 23.88s
Epoch [8/800], Loss_D: 1.0032, Loss_G: 0.8836, Time: 23.77s
Epoch [9/800], Loss_D: 0.9271, Loss_G: 1.2260, Time: 23.78s
Epoch [10/800], Loss_D: 0.7714, Loss_G: 1.3156, Time: 24.05s
Epoch [11/800], Loss_D: 0.9864, Loss_G: 1.1354, Time: 23.75s
Epoch [12/800], Loss_D: 0.8071, Loss_G: 1.6210, Time: 23.50s
Epoch [13/800], Loss_D: 1.1056, Loss_G: 0.8440, Time: 23.73s
Epoch [14/800], Loss_D: 0.9770, Loss_G: 1.0787, Time: 23.65s
Epoch [15/800], Loss_D: 1.3944, Loss_G: 1.3860, Time: 23.56s
Epoch [16/800], Loss_D: 0.9239, Loss_G: 0.9804, Time: 23.69s
Epoch [17/800], Loss_D: 0.7248, Loss_G: 1.6149, Time: 23.61s
Epoch [18/800], Loss_D: 0.8124, Loss_G: 1.0257, Time: 23.65s
Epoch [19/800], Loss_D: 0.7570, Loss_G: 1.5234, Time: 23.59s
Epoch [20/800], Loss_D: 1.0401, Loss_G: 1.0679, Time: 24.19s
Epoch [21/800], Loss_D: 1.4336, Loss_G: 0.7098, Time: 23.59s
Epoch [22/800], Loss_D: 0.7783, Loss_G: 1.4266, Time: 23.47s
Epoch [23/800], Loss_D: 0.7472, Loss_G: 1.5248, Time: 23.55s
Epoch [24/800], Loss_D: 0.6504, Loss_G: 2.0865, Time: 23.31s
Epoch [25/800], Loss_D: 1.2416, Loss_G: 1.1071, Time: 23.31s
Epoch [26/800], Loss_D: 0.8627, Loss_G: 1.1645, Time: 23.24s
Epoch [27/800], Loss_D: 1.4563, Loss_G: 1.6393, Time: 23.62s
Epoch [28/800], Loss_D: 0.6338, Loss_G: 1.4135, Time: 23.46s
Epoch [29/800], Loss_D: 0.6347, Loss_G: 1.6177, Time: 23.49s
Epoch [30/800], Loss_D: 0.8142, Loss_G: 1.6710, Time: 23.96s
Epoch [31/800], Loss_D: 0.6529, Loss_G: 1.8938, Time: 23.56s
Epoch [32/800], Loss_D: 1.0775, Loss_G: 0.9840, Time: 23.40s
Epoch [33/800], Loss_D: 0.7378, Loss_G: 1.6691, Time: 23.32s
Epoch [34/800], Loss_D: 0.6394, Loss_G: 1.5529, Time: 23.39s
Epoch [35/800], Loss_D: 0.7721, Loss_G: 1.8372, Time: 24.07s
Epoch [36/800], Loss_D: 0.9083, Loss_G: 1.3974, Time: 23.33s
Epoch [37/800], Loss_D: 0.6866, Loss_G: 2.3241, Time: 23.46s
Epoch [38/800], Loss_D: 0.9559, Loss_G: 1.5650, Time: 23.46s
Epoch [39/800], Loss_D: 0.9595, Loss_G: 1.0506, Time: 23.41s
Epoch [40/800], Loss_D: 0.5824, Loss_G: 1.6656, Time: 23.70s
Epoch [41/800], Loss_D: 0.6556, Loss_G: 1.6280, Time: 23.41s
Epoch [42/800], Loss_D: 0.8193, Loss_G: 1.1769, Time: 22.97s
Epoch [43/800], Loss_D: 0.7532, Loss_G: 0.9896, Time: 23.07s
Epoch [44/800], Loss_D: 0.4679, Loss_G: 2.3422, Time: 23.14s
Epoch [45/800], Loss_D: 0.7818, Loss_G: 1.6161, Time: 23.34s
Epoch [46/800], Loss_D: 0.7789, Loss_G: 1.0621, Time: 23.90s
Epoch [47/800], Loss_D: 0.6715, Loss_G: 1.4488, Time: 23.31s
Epoch [48/800], Loss_D: 0.7116, Loss_G: 1.4686, Time: 23.39s
Epoch [49/800], Loss_D: 0.7506, Loss_G: 1.2770, Time: 23.27s
Epoch [50/800], Loss_D: 0.9453, Loss_G: 0.8361, Time: 23.94s
Epoch [51/800], Loss_D: 0.5778, Loss_G: 1.9940, Time: 23.44s
Epoch [52/800], Loss_D: 0.9441, Loss_G: 1.2169, Time: 23.46s
Epoch [53/800], Loss_D: 0.4633, Loss_G: 1.6928, Time: 23.48s
Epoch [54/800], Loss_D: 1.1880, Loss_G: 0.9137, Time: 23.43s
Epoch [55/800], Loss_D: 0.8645, Loss_G: 1.8676, Time: 23.44s
Epoch [56/800], Loss_D: 0.5448, Loss_G: 1.7671, Time: 23.54s
Epoch [57/800], Loss_D: 0.7757, Loss_G: 1.2074, Time: 24.23s
Epoch [58/800], Loss_D: 0.7440, Loss_G: 1.0797, Time: 23.35s
Epoch [59/800], Loss_D: 0.8160, Loss_G: 1.5466, Time: 23.34s
Epoch [60/800], Loss_D: 0.9019, Loss_G: 2.1495, Time: 24.18s
Epoch [61/800], Loss_D: 1.0448, Loss_G: 0.8842, Time: 23.43s
Epoch [62/800], Loss_D: 0.6217, Loss_G: 1.5355, Time: 23.70s
Epoch [63/800], Loss_D: 0.5927, Loss_G: 2.3999, Time: 23.56s
Epoch [64/800], Loss_D: 0.6375, Loss_G: 1.9533, Time: 23.44s
Epoch [65/800], Loss_D: 0.4609, Loss_G: 2.1427, Time: 23.22s
Epoch [66/800], Loss_D: 0.9935, Loss_G: 1.2084, Time: 23.34s
Epoch [67/800], Loss_D: 0.5091, Loss_G: 2.1060, Time: 23.38s
Epoch [68/800], Loss_D: 0.7151, Loss_G: 1.5697, Time: 23.75s
Epoch [69/800], Loss_D: 0.9209, Loss_G: 1.3433, Time: 23.31s
Epoch [70/800], Loss_D: 0.8949, Loss_G: 1.0556, Time: 23.79s
Epoch [71/800], Loss_D: 0.8846, Loss_G: 1.8047, Time: 23.07s
Epoch [72/800], Loss_D: 0.9571, Loss_G: 1.1692, Time: 23.02s
Epoch [73/800], Loss_D: 0.8348, Loss_G: 1.5235, Time: 23.17s
Epoch [74/800], Loss_D: 0.7699, Loss_G: 1.6982, Time: 22.91s
Epoch [75/800], Loss_D: 0.6704, Loss_G: 1.6621, Time: 23.01s
Epoch [76/800], Loss_D: 0.7938, Loss_G: 1.4658, Time: 23.12s
Epoch [77/800], Loss_D: 0.6647, Loss_G: 1.5296, Time: 23.34s
Epoch [78/800], Loss_D: 0.9361, Loss_G: 1.4556, Time: 23.73s
Epoch [79/800], Loss_D: 0.6768, Loss_G: 1.8151, Time: 23.16s
Epoch [80/800], Loss_D: 0.5423, Loss_G: 1.8788, Time: 23.78s
Epoch [81/800], Loss_D: 0.7019, Loss_G: 2.1593, Time: 23.16s
Epoch [82/800], Loss_D: 1.0523, Loss_G: 1.7195, Time: 23.07s
Epoch [83/800], Loss_D: 0.8529, Loss_G: 1.7801, Time: 23.12s
Epoch [84/800], Loss_D: 0.6856, Loss_G: 1.6149, Time: 23.17s
Epoch [85/800], Loss_D: 0.9536, Loss_G: 1.3108, Time: 23.04s
Epoch [86/800], Loss_D: 0.6610, Loss_G: 1.4861, Time: 23.29s
Epoch [87/800], Loss_D: 1.1097, Loss_G: 1.5637, Time: 23.00s
Epoch [88/800], Loss_D: 0.5689, Loss_G: 1.8132, Time: 22.78s
Epoch [89/800], Loss_D: 0.6225, Loss_G: 1.8182, Time: 23.96s
Epoch [90/800], Loss_D: 0.8220, Loss_G: 1.6961, Time: 24.42s
Epoch [91/800], Loss_D: 0.5389, Loss_G: 2.4082, Time: 23.28s
Epoch [92/800], Loss_D: 0.4508, Loss_G: 2.3994, Time: 23.32s
Epoch [93/800], Loss_D: 0.7171, Loss_G: 1.9710, Time: 23.33s
Epoch [94/800], Loss_D: 0.5418, Loss_G: 2.1077, Time: 23.26s
Epoch [95/800], Loss_D: 0.9278, Loss_G: 1.0315, Time: 23.15s
Epoch [96/800], Loss_D: 0.8015, Loss_G: 1.5462, Time: 23.25s
Epoch [97/800], Loss_D: 0.8947, Loss_G: 1.0553, Time: 23.32s
