Epoch 0/800, D loss: -0.7494516372680664, G loss: -15.359916687011719, Time elapsed: 20.164637088775635s
Epoch 1/800, D loss: -0.054233551025390625, G loss: -13.150790214538574, Time elapsed: 40.26804828643799s
Epoch 2/800, D loss: -0.001461029052734375, G loss: -8.527275085449219, Time elapsed: 56.41175389289856s
Epoch 3/800, D loss: -0.028022101148962975, G loss: 0.051956500858068466, Time elapsed: 73.31805777549744s
Epoch 4/800, D loss: -0.46532005071640015, G loss: -0.12578758597373962, Time elapsed: 92.87621402740479s
Epoch 5/800, D loss: -0.4571816921234131, G loss: -1.3220010995864868, Time elapsed: 109.49539422988892s
Epoch 6/800, D loss: -0.5442802906036377, G loss: -2.91330885887146, Time elapsed: 126.38376784324646s
Epoch 7/800, D loss: -0.2949094772338867, G loss: -1.89393150806427, Time elapsed: 143.26078844070435s
Epoch 8/800, D loss: -0.31762146949768066, G loss: -2.615656852722168, Time elapsed: 159.73075580596924s
Epoch 9/800, D loss: -0.7063255310058594, G loss: -0.7459738254547119, Time elapsed: 176.6633107662201s
Epoch 10/800, D loss: -0.2276151180267334, G loss: -2.3458900451660156, Time elapsed: 193.60905694961548s
Epoch 11/800, D loss: -0.4143112897872925, G loss: -1.4876806735992432, Time elapsed: 210.09679770469666s
Epoch 12/800, D loss: -0.41095876693725586, G loss: -1.5377445220947266, Time elapsed: 227.25836563110352s
Epoch 13/800, D loss: -0.3852086663246155, G loss: -0.9608756303787231, Time elapsed: 243.49218702316284s
Epoch 14/800, D loss: -0.3506605625152588, G loss: -1.8695940971374512, Time elapsed: 259.9950375556946s
Epoch 15/800, D loss: -0.5647010803222656, G loss: -0.5107488036155701, Time elapsed: 277.23006439208984s
Epoch 16/800, D loss: -0.561856746673584, G loss: -0.7482824325561523, Time elapsed: 293.68964099884033s
Epoch 17/800, D loss: -0.35281699895858765, G loss: -0.7098132967948914, Time elapsed: 310.3822555541992s
Epoch 18/800, D loss: -0.38157808780670166, G loss: -1.7170403003692627, Time elapsed: 327.68771839141846s
Epoch 19/800, D loss: -0.3712778091430664, G loss: -2.106706142425537, Time elapsed: 343.9948043823242s
Epoch 20/800, D loss: -0.21590757369995117, G loss: -3.1927735805511475, Time elapsed: 360.31437373161316s
Epoch 21/800, D loss: -0.22674894332885742, G loss: -2.100222587585449, Time elapsed: 377.3918399810791s
Epoch 22/800, D loss: -0.21398329734802246, G loss: -2.9320878982543945, Time elapsed: 393.55828332901s
Epoch 23/800, D loss: -0.2003164291381836, G loss: -2.3122198581695557, Time elapsed: 409.99332308769226s
Epoch 24/800, D loss: -0.16904926300048828, G loss: -2.9281811714172363, Time elapsed: 427.10897302627563s
Epoch 25/800, D loss: -0.19478297233581543, G loss: -3.394179344177246, Time elapsed: 443.3290100097656s
Epoch 26/800, D loss: -0.20009708404541016, G loss: -2.6248011589050293, Time elapsed: 459.5653603076935s
Epoch 27/800, D loss: -0.2663280963897705, G loss: -2.430039882659912, Time elapsed: 476.6237847805023s
Epoch 28/800, D loss: -0.26187705993652344, G loss: -2.8451852798461914, Time elapsed: 493.07971930503845s
Epoch 29/800, D loss: -0.20629048347473145, G loss: -3.7558436393737793, Time elapsed: 510.1220643520355s
Epoch 30/800, D loss: -0.2194206714630127, G loss: -3.7027807235717773, Time elapsed: 527.1742289066315s
Epoch 31/800, D loss: -0.22493457794189453, G loss: -2.4038949012756348, Time elapsed: 543.9453725814819s
Epoch 32/800, D loss: -0.1664869785308838, G loss: -2.7141661643981934, Time elapsed: 561.2262680530548s
Epoch 33/800, D loss: -0.1979842185974121, G loss: -3.0818190574645996, Time elapsed: 577.6211774349213s
Epoch 34/800, D loss: -0.18294858932495117, G loss: -2.6796181201934814, Time elapsed: 594.0896546840668s
Epoch 35/800, D loss: -0.11674356460571289, G loss: -3.0648012161254883, Time elapsed: 611.2367296218872s
Epoch 36/800, D loss: -0.1861724853515625, G loss: -3.8604493141174316, Time elapsed: 627.4425177574158s
Epoch 37/800, D loss: -0.20396208763122559, G loss: -2.4702043533325195, Time elapsed: 643.8312211036682s
Epoch 38/800, D loss: -0.25881171226501465, G loss: -3.5271177291870117, Time elapsed: 660.9377975463867s
Epoch 39/800, D loss: -0.22814559936523438, G loss: -2.2703909873962402, Time elapsed: 677.3205361366272s
Epoch 40/800, D loss: -0.22129321098327637, G loss: -3.4935808181762695, Time elapsed: 694.2392227649689s
Epoch 41/800, D loss: -0.13254356384277344, G loss: -3.194061756134033, Time elapsed: 710.7801158428192s
Epoch 42/800, D loss: -0.1812584400177002, G loss: -3.394519329071045, Time elapsed: 727.4520828723907s
Epoch 43/800, D loss: -0.14603495597839355, G loss: -3.369702100753784, Time elapsed: 744.3815429210663s
Epoch 44/800, D loss: -0.19034147262573242, G loss: -3.2754669189453125, Time elapsed: 760.5229506492615s
Epoch 45/800, D loss: -0.18230676651000977, G loss: -3.0618722438812256, Time elapsed: 776.6878383159637s
Epoch 46/800, D loss: -0.15920615196228027, G loss: -1.6522114276885986, Time elapsed: 793.4886565208435s
Epoch 47/800, D loss: -0.1766512393951416, G loss: -2.9015653133392334, Time elapsed: 809.3672437667847s
Epoch 48/800, D loss: -0.16283178329467773, G loss: -2.09843373298645, Time elapsed: 825.4401075839996s
Epoch 49/800, D loss: -0.2133934497833252, G loss: -2.581244945526123, Time elapsed: 842.7460296154022s
Epoch 50/800, D loss: -0.21326589584350586, G loss: -2.533848524093628, Time elapsed: 859.4414849281311s
Epoch 51/800, D loss: -0.12474918365478516, G loss: -2.8241357803344727, Time elapsed: 876.1232895851135s
Epoch 52/800, D loss: -0.18586301803588867, G loss: -2.6628222465515137, Time elapsed: 893.522082567215s
Epoch 53/800, D loss: -0.15002727508544922, G loss: -3.0781238079071045, Time elapsed: 910.0148882865906s
Epoch 54/800, D loss: -0.1135711669921875, G loss: -2.886040449142456, Time elapsed: 926.9371573925018s
Epoch 55/800, D loss: -0.15131545066833496, G loss: -3.032169818878174, Time elapsed: 943.2230753898621s
Epoch 56/800, D loss: -0.2584596872329712, G loss: -1.674546480178833, Time elapsed: 959.4430346488953s
Epoch 57/800, D loss: -0.12438750267028809, G loss: -3.2387003898620605, Time elapsed: 976.3414340019226s
Epoch 58/800, D loss: -0.09300637245178223, G loss: -3.2348737716674805, Time elapsed: 992.6230363845825s
Epoch 59/800, D loss: -0.1678776741027832, G loss: -2.842211961746216, Time elapsed: 1008.89803814888s
Epoch 60/800, D loss: -0.14562773704528809, G loss: -2.2726683616638184, Time elapsed: 1025.7503831386566s
Epoch 61/800, D loss: -0.22219085693359375, G loss: -2.8768272399902344, Time elapsed: 1042.1876864433289s
Epoch 62/800, D loss: -0.15115714073181152, G loss: -2.1494152545928955, Time elapsed: 1058.1684770584106s
